Surname,OtherName
Mumuni,Salamatu
Nyimayab,Silas
Abdul Rahman,Muhiba
Daniel,Kwabena
Aboagye,Abednego
Tenu,Samuel
Antwi Boasiako,Frederick
Aikins,Monica
Dumbu,Felita
Nyantakyiwaa,Dora
Gyanewaa,Jennifer
Ambross,Kwasi
Ashun,Priscilla
Acheampomaa,Iddrisu
Mahama,Stephen
Aninakwah,Emmanuel
Owusu,Eric
Oduro,Michael
Brifo,Patricia
Ampreh,Gideon
Daasu,Issah
Akatapore,Sayibu
Sana,Gloria
Dordzie,Awudu
Frimpong,Jamila
Fuseini,Nabil
Awudu,Gladys
Larry,James
Bamonge,Anboufaa
Nuordong,Padimond
Werekuu,Isaac
Tia,Naab
Biliwa,Musah
Nkansah,Ayishetu
Soglu,Wakila
Saidu,Samira
Abu,Abukari
Husein,Simon
Musah,Rahael
Dokurugu,Yeboah
Iddi,Mubarak
Gyabah,Slyvester
Kofi,Faustina
Boateng,Eliasu
Anane,Zulaiha
Abubakar,Hamida
Awoude,Eunice
Mohammed,Rebecca
Ewusi,Francis
Osmanu,Richard
Dunlounaa Kuri,Tawiah
Bassi,Asampana
Antwi,Asanpandaa
Kesse,Talata
Gyorpere,Hamza
Addai,Abigail
Amia,Rubby
Tentan,Evans
Nsoh,Felicia
Akolgo,Amina
Agongo,Diana
Alobig,Suphianu
Kwasi,Fauzia
Nkrumah,Gilbert
Ahiaba,Augustine
Nketiah,Patrick
Kanyuulo,Akwasi
Dawuda,Philimon
Dowuona,Julius
Yakubu,Bismark
Adu,Barikisu
Atta Gyamfi,Sana
Adom Frimpong,Rahina
Opoku,Richmond
Segoe,Elvis
Adjei Koomson,Frank
Adu Yeboah,Prince
Basoah,Safia
Kwakye,Godfred
Ansomana,Kwame
Abdul-Rahim,Yahaya
Faisal,Sharifa
Asiedu,Justine
Agyei,Berimah
Osei-Gyamfi,Peter
Minkah,Bright
Halidu,Dofi
Ansah,George
Mensah Bonsu,Francisca
Dankwah,Charlotte
Ntsiful,Dickson
Alhassan,Lois
Seidu,Ebenezer
Binewoatsor,Kwadwo
Manu,Albert
Ofori,Misan
Twum,Felix
Asamoah,Abdul
Adzoma,Watkins
Vivor,Issaka
Sai,Ernest
Dugah,Joseph
Larbi,Akua
Adjei,Salisu
Kudzordzi,Suale
Ata,Kayidatu
Kyeremeh,Arimeyaw
Osei,Georgina
Oppong,Louis
Hlordewu,Kurugu
Obeng,Fati
